"id","District","FIPS","Year","Grade","Measure Type","Variable","Value"
1205,"Capitol Region Education Council",NA,"2013-2014","6","Number","Student Enrollment",676
1205,"Capitol Region Education Council",NA,"2013-2014","7","Number","Student Enrollment",696
1205,"Capitol Region Education Council",NA,"2013-2014","8","Number","Student Enrollment",631
1205,"Capitol Region Education Council",NA,"2013-2014","9","Number","Student Enrollment",615
1205,"Capitol Region Education Council",NA,"2013-2014","10","Number","Student Enrollment",537
1205,"Capitol Region Education Council",NA,"2013-2014","11","Number","Student Enrollment",367
1205,"Capitol Region Education Council",NA,"2013-2014","12","Number","Student Enrollment",371
1205,"Capitol Region Education Council",NA,"2013-2014","Total","Number","Student Enrollment",7177
1403,"Capitol Region Education Council",NA,"2014-2015","Pre Kindergarten","Number","Student Enrollment",1057
1403,"Capitol Region Education Council",NA,"2014-2015","Kindergarten","Number","Student Enrollment",571
1403,"Capitol Region Education Council",NA,"2014-2015","1","Number","Student Enrollment",596
1403,"Capitol Region Education Council",NA,"2014-2015","2","Number","Student Enrollment",511
1403,"Capitol Region Education Council",NA,"2014-2015","3","Number","Student Enrollment",388
1403,"Capitol Region Education Council",NA,"2014-2015","4","Number","Student Enrollment",347
1403,"Capitol Region Education Council",NA,"2014-2015","5","Number","Student Enrollment",282
1403,"Capitol Region Education Council",NA,"2014-2015","6","Number","Student Enrollment",789
1403,"Capitol Region Education Council",NA,"2014-2015","7","Number","Student Enrollment",692
1403,"Capitol Region Education Council",NA,"2014-2015","8","Number","Student Enrollment",721
1403,"Capitol Region Education Council",NA,"2014-2015","9","Number","Student Enrollment",749
1403,"Capitol Region Education Council",NA,"2014-2015","10","Number","Student Enrollment",618
1403,"Capitol Region Education Council",NA,"2014-2015","11","Number","Student Enrollment",459
1403,"Capitol Region Education Council",NA,"2014-2015","12","Number","Student Enrollment",386
1403,"Capitol Region Education Council",NA,"2014-2015","Total","Number","Student Enrollment",8166
1765,"Capitol Region Education Council",NA,"2015-2016","Pre Kindergarten","Number","Student Enrollment",0
1765,"Capitol Region Education Council",NA,"2015-2016","Kindergarten","Number","Student Enrollment",0
1765,"Capitol Region Education Council",NA,"2015-2016","1","Number","Student Enrollment",0
1765,"Capitol Region Education Council",NA,"2015-2016","2","Number","Student Enrollment",0
1765,"Capitol Region Education Council",NA,"2015-2016","3","Number","Student Enrollment",0
1765,"Capitol Region Education Council",NA,"2015-2016","4","Number","Student Enrollment",0
1765,"Capitol Region Education Council",NA,"2015-2016","5","Number","Student Enrollment",0
1765,"Capitol Region Education Council",NA,"2015-2016","6","Number","Student Enrollment",43
1765,"Capitol Region Education Council",NA,"2015-2016","7","Number","Student Enrollment",42
1765,"Capitol Region Education Council",NA,"2015-2016","8","Number","Student Enrollment",45
1765,"Capitol Region Education Council",NA,"2015-2016","9","Number","Student Enrollment",40
1765,"Capitol Region Education Council",NA,"2015-2016","10","Number","Student Enrollment",45
1765,"Capitol Region Education Council",NA,"2015-2016","11","Number","Student Enrollment",23
1765,"Capitol Region Education Council",NA,"2015-2016","12","Number","Student Enrollment",11
1765,"Capitol Region Education Council",NA,"2015-2016","Total","Number","Student Enrollment",249
1605,"Capitol Region Education Council",NA,"2015-2016","Pre Kindergarten","Number","Student Enrollment",950
1605,"Capitol Region Education Council",NA,"2015-2016","Kindergarten","Number","Student Enrollment",576
1605,"Capitol Region Education Council",NA,"2015-2016","1","Number","Student Enrollment",573
1605,"Capitol Region Education Council",NA,"2015-2016","2","Number","Student Enrollment",591
1605,"Capitol Region Education Council",NA,"2015-2016","3","Number","Student Enrollment",492
1605,"Capitol Region Education Council",NA,"2015-2016","4","Number","Student Enrollment",384
1605,"Capitol Region Education Council",NA,"2015-2016","5","Number","Student Enrollment",336
1605,"Capitol Region Education Council",NA,"2015-2016","6","Number","Student Enrollment",676
1605,"Capitol Region Education Council",NA,"2015-2016","7","Number","Student Enrollment",737
1605,"Capitol Region Education Council",NA,"2015-2016","8","Number","Student Enrollment",678
1605,"Capitol Region Education Council",NA,"2015-2016","9","Number","Student Enrollment",663
1605,"Capitol Region Education Council",NA,"2015-2016","10","Number","Student Enrollment",663
1605,"Capitol Region Education Council",NA,"2015-2016","11","Number","Student Enrollment",553
1605,"Capitol Region Education Council",NA,"2015-2016","12","Number","Student Enrollment",482
1605,"Capitol Region Education Council",NA,"2015-2016","Total","Number","Student Enrollment",8354
21,"Chaplin School District",NA,"2007-2008","Pre Kindergarten","Number","Student Enrollment",30
21,"Chaplin School District",NA,"2007-2008","Kindergarten","Number","Student Enrollment",23
21,"Chaplin School District",NA,"2007-2008","1","Number","Student Enrollment",19
21,"Chaplin School District",NA,"2007-2008","2","Number","Student Enrollment",22
21,"Chaplin School District",NA,"2007-2008","3","Number","Student Enrollment",29
21,"Chaplin School District",NA,"2007-2008","4","Number","Student Enrollment",18
21,"Chaplin School District",NA,"2007-2008","5","Number","Student Enrollment",34
21,"Chaplin School District",NA,"2007-2008","6","Number","Student Enrollment",35
21,"Chaplin School District",NA,"2007-2008","7","Number","Student Enrollment",0
21,"Chaplin School District",NA,"2007-2008","8","Number","Student Enrollment",0
21,"Chaplin School District",NA,"2007-2008","9","Number","Student Enrollment",0
21,"Chaplin School District",NA,"2007-2008","10","Number","Student Enrollment",0
21,"Chaplin School District",NA,"2007-2008","11","Number","Student Enrollment",0
21,"Chaplin School District",NA,"2007-2008","12","Number","Student Enrollment",0
21,"Chaplin School District",NA,"2007-2008","Total","Number","Student Enrollment",210
217,"Chaplin School District",NA,"2008-2009","Pre Kindergarten","Number","Student Enrollment",21
217,"Chaplin School District",NA,"2008-2009","Kindergarten","Number","Student Enrollment",22
217,"Chaplin School District",NA,"2008-2009","1","Number","Student Enrollment",22
217,"Chaplin School District",NA,"2008-2009","2","Number","Student Enrollment",19
217,"Chaplin School District",NA,"2008-2009","3","Number","Student Enrollment",18
217,"Chaplin School District",NA,"2008-2009","4","Number","Student Enrollment",29
217,"Chaplin School District",NA,"2008-2009","5","Number","Student Enrollment",16
217,"Chaplin School District",NA,"2008-2009","6","Number","Student Enrollment",31
217,"Chaplin School District",NA,"2008-2009","7","Number","Student Enrollment",0
217,"Chaplin School District",NA,"2008-2009","8","Number","Student Enrollment",0
217,"Chaplin School District",NA,"2008-2009","9","Number","Student Enrollment",0
217,"Chaplin School District",NA,"2008-2009","10","Number","Student Enrollment",0
217,"Chaplin School District",NA,"2008-2009","11","Number","Student Enrollment",0
217,"Chaplin School District",NA,"2008-2009","12","Number","Student Enrollment",0
217,"Chaplin School District",NA,"2008-2009","Total","Number","Student Enrollment",178
415,"Chaplin School District",NA,"2009-2010","Pre Kindergarten","Number","Student Enrollment",26
415,"Chaplin School District",NA,"2009-2010","Kindergarten","Number","Student Enrollment",19
415,"Chaplin School District",NA,"2009-2010","1","Number","Student Enrollment",18
415,"Chaplin School District",NA,"2009-2010","2","Number","Student Enrollment",25
415,"Chaplin School District",NA,"2009-2010","3","Number","Student Enrollment",17
415,"Chaplin School District",NA,"2009-2010","4","Number","Student Enrollment",20
415,"Chaplin School District",NA,"2009-2010","5","Number","Student Enrollment",32
415,"Chaplin School District",NA,"2009-2010","6","Number","Student Enrollment",16
415,"Chaplin School District",NA,"2009-2010","7","Number","Student Enrollment",0
415,"Chaplin School District",NA,"2009-2010","8","Number","Student Enrollment",0
415,"Chaplin School District",NA,"2009-2010","9","Number","Student Enrollment",0
415,"Chaplin School District",NA,"2009-2010","10","Number","Student Enrollment",0
415,"Chaplin School District",NA,"2009-2010","11","Number","Student Enrollment",0
415,"Chaplin School District",NA,"2009-2010","12","Number","Student Enrollment",0
415,"Chaplin School District",NA,"2009-2010","Total","Number","Student Enrollment",173
613,"Chaplin School District",NA,"2010-2011","Pre Kindergarten","Number","Student Enrollment",33
613,"Chaplin School District",NA,"2010-2011","Kindergarten","Number","Student Enrollment",20
613,"Chaplin School District",NA,"2010-2011","1","Number","Student Enrollment",19
613,"Chaplin School District",NA,"2010-2011","2","Number","Student Enrollment",20
613,"Chaplin School District",NA,"2010-2011","3","Number","Student Enrollment",21
613,"Chaplin School District",NA,"2010-2011","4","Number","Student Enrollment",19
613,"Chaplin School District",NA,"2010-2011","5","Number","Student Enrollment",24
613,"Chaplin School District",NA,"2010-2011","6","Number","Student Enrollment",31
613,"Chaplin School District",NA,"2010-2011","7","Number","Student Enrollment",0
613,"Chaplin School District",NA,"2010-2011","8","Number","Student Enrollment",0
613,"Chaplin School District",NA,"2010-2011","9","Number","Student Enrollment",0
613,"Chaplin School District",NA,"2010-2011","10","Number","Student Enrollment",0
613,"Chaplin School District",NA,"2010-2011","11","Number","Student Enrollment",0
613,"Chaplin School District",NA,"2010-2011","12","Number","Student Enrollment",0
613,"Chaplin School District",NA,"2010-2011","Total","Number","Student Enrollment",187
811,"Chaplin School District",NA,"2011-2012","Pre Kindergarten","Number","Student Enrollment",28
811,"Chaplin School District",NA,"2011-2012","Kindergarten","Number","Student Enrollment",26
811,"Chaplin School District",NA,"2011-2012","1","Number","Student Enrollment",22
811,"Chaplin School District",NA,"2011-2012","2","Number","Student Enrollment",19
811,"Chaplin School District",NA,"2011-2012","3","Number","Student Enrollment",19
811,"Chaplin School District",NA,"2011-2012","4","Number","Student Enrollment",22
811,"Chaplin School District",NA,"2011-2012","5","Number","Student Enrollment",22
811,"Chaplin School District",NA,"2011-2012","6","Number","Student Enrollment",24
811,"Chaplin School District",NA,"2011-2012","7","Number","Student Enrollment",0
811,"Chaplin School District",NA,"2011-2012","8","Number","Student Enrollment",0
811,"Chaplin School District",NA,"2011-2012","9","Number","Student Enrollment",0
811,"Chaplin School District",NA,"2011-2012","10","Number","Student Enrollment",0
811,"Chaplin School District",NA,"2011-2012","11","Number","Student Enrollment",0
811,"Chaplin School District",NA,"2011-2012","12","Number","Student Enrollment",0
811,"Chaplin School District",NA,"2011-2012","Total","Number","Student Enrollment",182
1008,"Chaplin School District",NA,"2012-2013","Pre Kindergarten","Number","Student Enrollment",27
1008,"Chaplin School District",NA,"2012-2013","Kindergarten","Number","Student Enrollment",27
1008,"Chaplin School District",NA,"2012-2013","1","Number","Student Enrollment",24
1008,"Chaplin School District",NA,"2012-2013","2","Number","Student Enrollment",18
1008,"Chaplin School District",NA,"2012-2013","3","Number","Student Enrollment",23
1008,"Chaplin School District",NA,"2012-2013","4","Number","Student Enrollment",19
1008,"Chaplin School District",NA,"2012-2013","5","Number","Student Enrollment",26
1008,"Chaplin School District",NA,"2012-2013","6","Number","Student Enrollment",21
1008,"Chaplin School District",NA,"2012-2013","7","Number","Student Enrollment",0
1008,"Chaplin School District",NA,"2012-2013","8","Number","Student Enrollment",0
1008,"Chaplin School District",NA,"2012-2013","9","Number","Student Enrollment",0
1008,"Chaplin School District",NA,"2012-2013","10","Number","Student Enrollment",0
1008,"Chaplin School District",NA,"2012-2013","11","Number","Student Enrollment",0
1008,"Chaplin School District",NA,"2012-2013","12","Number","Student Enrollment",0
1008,"Chaplin School District",NA,"2012-2013","Total","Number","Student Enrollment",185
1206,"Chaplin School District",NA,"2013-2014","Pre Kindergarten","Number","Student Enrollment",33
1206,"Chaplin School District",NA,"2013-2014","Kindergarten","Number","Student Enrollment",23
1206,"Chaplin School District",NA,"2013-2014","1","Number","Student Enrollment",24
1206,"Chaplin School District",NA,"2013-2014","2","Number","Student Enrollment",22
1206,"Chaplin School District",NA,"2013-2014","3","Number","Student Enrollment",22
1206,"Chaplin School District",NA,"2013-2014","4","Number","Student Enrollment",21
1206,"Chaplin School District",NA,"2013-2014","5","Number","Student Enrollment",17
1206,"Chaplin School District",NA,"2013-2014","6","Number","Student Enrollment",21
1206,"Chaplin School District",NA,"2013-2014","7","Number","Student Enrollment",0
1206,"Chaplin School District",NA,"2013-2014","8","Number","Student Enrollment",0
1206,"Chaplin School District",NA,"2013-2014","9","Number","Student Enrollment",0
1206,"Chaplin School District",NA,"2013-2014","10","Number","Student Enrollment",0
1206,"Chaplin School District",NA,"2013-2014","11","Number","Student Enrollment",0
1206,"Chaplin School District",NA,"2013-2014","12","Number","Student Enrollment",0
1206,"Chaplin School District",NA,"2013-2014","Total","Number","Student Enrollment",183
1404,"Chaplin School District",NA,"2014-2015","Pre Kindergarten","Number","Student Enrollment",32
1404,"Chaplin School District",NA,"2014-2015","Kindergarten","Number","Student Enrollment",21
1404,"Chaplin School District",NA,"2014-2015","1","Number","Student Enrollment",22
1404,"Chaplin School District",NA,"2014-2015","2","Number","Student Enrollment",23
1404,"Chaplin School District",NA,"2014-2015","3","Number","Student Enrollment",17
1404,"Chaplin School District",NA,"2014-2015","4","Number","Student Enrollment",24
1404,"Chaplin School District",NA,"2014-2015","5","Number","Student Enrollment",21
1404,"Chaplin School District",NA,"2014-2015","6","Number","Student Enrollment",18
1404,"Chaplin School District",NA,"2014-2015","7","Number","Student Enrollment",0
1404,"Chaplin School District",NA,"2014-2015","8","Number","Student Enrollment",0
1404,"Chaplin School District",NA,"2014-2015","9","Number","Student Enrollment",0
1404,"Chaplin School District",NA,"2014-2015","10","Number","Student Enrollment",0
1404,"Chaplin School District",NA,"2014-2015","11","Number","Student Enrollment",0
1404,"Chaplin School District",NA,"2014-2015","12","Number","Student Enrollment",0
1404,"Chaplin School District",NA,"2014-2015","Total","Number","Student Enrollment",178
1606,"Chaplin School District",NA,"2015-2016","Pre Kindergarten","Number","Student Enrollment",25
1606,"Chaplin School District",NA,"2015-2016","Kindergarten","Number","Student Enrollment",31
1606,"Chaplin School District",NA,"2015-2016","1","Number","Student Enrollment",21
1606,"Chaplin School District",NA,"2015-2016","2","Number","Student Enrollment",19
1606,"Chaplin School District",NA,"2015-2016","3","Number","Student Enrollment",24
1606,"Chaplin School District",NA,"2015-2016","4","Number","Student Enrollment",17
1606,"Chaplin School District",NA,"2015-2016","5","Number","Student Enrollment",22
1606,"Chaplin School District",NA,"2015-2016","6","Number","Student Enrollment",17
1606,"Chaplin School District",NA,"2015-2016","7","Number","Student Enrollment",0
1606,"Chaplin School District",NA,"2015-2016","8","Number","Student Enrollment",0
1606,"Chaplin School District",NA,"2015-2016","9","Number","Student Enrollment",0
1606,"Chaplin School District",NA,"2015-2016","10","Number","Student Enrollment",0
1606,"Chaplin School District",NA,"2015-2016","11","Number","Student Enrollment",0
1606,"Chaplin School District",NA,"2015-2016","12","Number","Student Enrollment",0
1606,"Chaplin School District",NA,"2015-2016","Total","Number","Student Enrollment",176
218,"Charter School for Young Children on Asylum Hill",NA,"2008-2009","Pre Kindergarten","Number","Student Enrollment",105
218,"Charter School for Young Children on Asylum Hill",NA,"2008-2009","Kindergarten","Number","Student Enrollment",31
218,"Charter School for Young Children on Asylum Hill",NA,"2008-2009","1","Number","Student Enrollment",0
218,"Charter School for Young Children on Asylum Hill",NA,"2008-2009","2","Number","Student Enrollment",0
218,"Charter School for Young Children on Asylum Hill",NA,"2008-2009","3","Number","Student Enrollment",0
218,"Charter School for Young Children on Asylum Hill",NA,"2008-2009","4","Number","Student Enrollment",0
218,"Charter School for Young Children on Asylum Hill",NA,"2008-2009","5","Number","Student Enrollment",0
218,"Charter School for Young Children on Asylum Hill",NA,"2008-2009","6","Number","Student Enrollment",0
218,"Charter School for Young Children on Asylum Hill",NA,"2008-2009","7","Number","Student Enrollment",0
218,"Charter School for Young Children on Asylum Hill",NA,"2008-2009","8","Number","Student Enrollment",0
218,"Charter School for Young Children on Asylum Hill",NA,"2008-2009","9","Number","Student Enrollment",0
218,"Charter School for Young Children on Asylum Hill",NA,"2008-2009","10","Number","Student Enrollment",0
218,"Charter School for Young Children on Asylum Hill",NA,"2008-2009","11","Number","Student Enrollment",0
218,"Charter School for Young Children on Asylum Hill",NA,"2008-2009","12","Number","Student Enrollment",0
218,"Charter School for Young Children on Asylum Hill",NA,"2008-2009","Total","Number","Student Enrollment",136
416,"Charter School for Young Children on Asylum Hill",NA,"2009-2010","Pre Kindergarten","Number","Student Enrollment",96
416,"Charter School for Young Children on Asylum Hill",NA,"2009-2010","Kindergarten","Number","Student Enrollment",48
416,"Charter School for Young Children on Asylum Hill",NA,"2009-2010","1","Number","Student Enrollment",41
416,"Charter School for Young Children on Asylum Hill",NA,"2009-2010","2","Number","Student Enrollment",0
416,"Charter School for Young Children on Asylum Hill",NA,"2009-2010","3","Number","Student Enrollment",0
416,"Charter School for Young Children on Asylum Hill",NA,"2009-2010","4","Number","Student Enrollment",0
416,"Charter School for Young Children on Asylum Hill",NA,"2009-2010","5","Number","Student Enrollment",0
416,"Charter School for Young Children on Asylum Hill",NA,"2009-2010","6","Number","Student Enrollment",0
416,"Charter School for Young Children on Asylum Hill",NA,"2009-2010","7","Number","Student Enrollment",0
416,"Charter School for Young Children on Asylum Hill",NA,"2009-2010","8","Number","Student Enrollment",0
416,"Charter School for Young Children on Asylum Hill",NA,"2009-2010","9","Number","Student Enrollment",0
416,"Charter School for Young Children on Asylum Hill",NA,"2009-2010","10","Number","Student Enrollment",0
416,"Charter School for Young Children on Asylum Hill",NA,"2009-2010","11","Number","Student Enrollment",0
416,"Charter School for Young Children on Asylum Hill",NA,"2009-2010","12","Number","Student Enrollment",0
416,"Charter School for Young Children on Asylum Hill",NA,"2009-2010","Total","Number","Student Enrollment",185
614,"Charter School for Young Children on Asylum Hill",NA,"2010-2011","Pre Kindergarten","Number","Student Enrollment",92
614,"Charter School for Young Children on Asylum Hill",NA,"2010-2011","Kindergarten","Number","Student Enrollment",45
614,"Charter School for Young Children on Asylum Hill",NA,"2010-2011","1","Number","Student Enrollment",41
614,"Charter School for Young Children on Asylum Hill",NA,"2010-2011","2","Number","Student Enrollment",47
614,"Charter School for Young Children on Asylum Hill",NA,"2010-2011","3","Number","Student Enrollment",0
614,"Charter School for Young Children on Asylum Hill",NA,"2010-2011","4","Number","Student Enrollment",0
614,"Charter School for Young Children on Asylum Hill",NA,"2010-2011","5","Number","Student Enrollment",0
614,"Charter School for Young Children on Asylum Hill",NA,"2010-2011","6","Number","Student Enrollment",0
614,"Charter School for Young Children on Asylum Hill",NA,"2010-2011","7","Number","Student Enrollment",0
614,"Charter School for Young Children on Asylum Hill",NA,"2010-2011","8","Number","Student Enrollment",0
614,"Charter School for Young Children on Asylum Hill",NA,"2010-2011","9","Number","Student Enrollment",0
614,"Charter School for Young Children on Asylum Hill",NA,"2010-2011","10","Number","Student Enrollment",0
614,"Charter School for Young Children on Asylum Hill",NA,"2010-2011","11","Number","Student Enrollment",0
614,"Charter School for Young Children on Asylum Hill",NA,"2010-2011","12","Number","Student Enrollment",0
614,"Charter School for Young Children on Asylum Hill",NA,"2010-2011","Total","Number","Student Enrollment",225
22,"Cheshire School District",900914160,"2007-2008","Pre Kindergarten","Number","Student Enrollment",97
22,"Cheshire School District",900914160,"2007-2008","Kindergarten","Number","Student Enrollment",296
22,"Cheshire School District",900914160,"2007-2008","1","Number","Student Enrollment",352
22,"Cheshire School District",900914160,"2007-2008","2","Number","Student Enrollment",342
22,"Cheshire School District",900914160,"2007-2008","3","Number","Student Enrollment",371
22,"Cheshire School District",900914160,"2007-2008","4","Number","Student Enrollment",391
22,"Cheshire School District",900914160,"2007-2008","5","Number","Student Enrollment",400
22,"Cheshire School District",900914160,"2007-2008","6","Number","Student Enrollment",416
22,"Cheshire School District",900914160,"2007-2008","7","Number","Student Enrollment",397
22,"Cheshire School District",900914160,"2007-2008","8","Number","Student Enrollment",430
22,"Cheshire School District",900914160,"2007-2008","9","Number","Student Enrollment",381
22,"Cheshire School District",900914160,"2007-2008","10","Number","Student Enrollment",423
22,"Cheshire School District",900914160,"2007-2008","11","Number","Student Enrollment",412
22,"Cheshire School District",900914160,"2007-2008","12","Number","Student Enrollment",436
22,"Cheshire School District",900914160,"2007-2008","Total","Number","Student Enrollment",5144
219,"Cheshire School District",900914160,"2008-2009","Pre Kindergarten","Number","Student Enrollment",85
219,"Cheshire School District",900914160,"2008-2009","Kindergarten","Number","Student Enrollment",300
219,"Cheshire School District",900914160,"2008-2009","1","Number","Student Enrollment",346
219,"Cheshire School District",900914160,"2008-2009","2","Number","Student Enrollment",352
219,"Cheshire School District",900914160,"2008-2009","3","Number","Student Enrollment",338
219,"Cheshire School District",900914160,"2008-2009","4","Number","Student Enrollment",385
219,"Cheshire School District",900914160,"2008-2009","5","Number","Student Enrollment",386
219,"Cheshire School District",900914160,"2008-2009","6","Number","Student Enrollment",395
219,"Cheshire School District",900914160,"2008-2009","7","Number","Student Enrollment",417
219,"Cheshire School District",900914160,"2008-2009","8","Number","Student Enrollment",402
219,"Cheshire School District",900914160,"2008-2009","9","Number","Student Enrollment",422
219,"Cheshire School District",900914160,"2008-2009","10","Number","Student Enrollment",382
219,"Cheshire School District",900914160,"2008-2009","11","Number","Student Enrollment",416
219,"Cheshire School District",900914160,"2008-2009","12","Number","Student Enrollment",406
219,"Cheshire School District",900914160,"2008-2009","Total","Number","Student Enrollment",5032
417,"Cheshire School District",900914160,"2009-2010","Pre Kindergarten","Number","Student Enrollment",82
417,"Cheshire School District",900914160,"2009-2010","Kindergarten","Number","Student Enrollment",313
417,"Cheshire School District",900914160,"2009-2010","1","Number","Student Enrollment",342
417,"Cheshire School District",900914160,"2009-2010","2","Number","Student Enrollment",359
417,"Cheshire School District",900914160,"2009-2010","3","Number","Student Enrollment",360
417,"Cheshire School District",900914160,"2009-2010","4","Number","Student Enrollment",346
417,"Cheshire School District",900914160,"2009-2010","5","Number","Student Enrollment",388
417,"Cheshire School District",900914160,"2009-2010","6","Number","Student Enrollment",380
417,"Cheshire School District",900914160,"2009-2010","7","Number","Student Enrollment",400
417,"Cheshire School District",900914160,"2009-2010","8","Number","Student Enrollment",415
417,"Cheshire School District",900914160,"2009-2010","9","Number","Student Enrollment",384
417,"Cheshire School District",900914160,"2009-2010","10","Number","Student Enrollment",418
417,"Cheshire School District",900914160,"2009-2010","11","Number","Student Enrollment",369
417,"Cheshire School District",900914160,"2009-2010","12","Number","Student Enrollment",415
417,"Cheshire School District",900914160,"2009-2010","Total","Number","Student Enrollment",4971
615,"Cheshire School District",900914160,"2010-2011","Pre Kindergarten","Number","Student Enrollment",85
615,"Cheshire School District",900914160,"2010-2011","Kindergarten","Number","Student Enrollment",258
615,"Cheshire School District",900914160,"2010-2011","1","Number","Student Enrollment",350
615,"Cheshire School District",900914160,"2010-2011","2","Number","Student Enrollment",346
615,"Cheshire School District",900914160,"2010-2011","3","Number","Student Enrollment",351
615,"Cheshire School District",900914160,"2010-2011","4","Number","Student Enrollment",355
615,"Cheshire School District",900914160,"2010-2011","5","Number","Student Enrollment",342
615,"Cheshire School District",900914160,"2010-2011","6","Number","Student Enrollment",391
615,"Cheshire School District",900914160,"2010-2011","7","Number","Student Enrollment",383
615,"Cheshire School District",900914160,"2010-2011","8","Number","Student Enrollment",406
615,"Cheshire School District",900914160,"2010-2011","9","Number","Student Enrollment",379
615,"Cheshire School District",900914160,"2010-2011","10","Number","Student Enrollment",378
615,"Cheshire School District",900914160,"2010-2011","11","Number","Student Enrollment",415
615,"Cheshire School District",900914160,"2010-2011","12","Number","Student Enrollment",386
615,"Cheshire School District",900914160,"2010-2011","Total","Number","Student Enrollment",4825
812,"Cheshire School District",900914160,"2011-2012","Pre Kindergarten","Number","Student Enrollment",73
812,"Cheshire School District",900914160,"2011-2012","Kindergarten","Number","Student Enrollment",263
812,"Cheshire School District",900914160,"2011-2012","1","Number","Student Enrollment",326
812,"Cheshire School District",900914160,"2011-2012","2","Number","Student Enrollment",366
812,"Cheshire School District",900914160,"2011-2012","3","Number","Student Enrollment",349
812,"Cheshire School District",900914160,"2011-2012","4","Number","Student Enrollment",360
812,"Cheshire School District",900914160,"2011-2012","5","Number","Student Enrollment",362
812,"Cheshire School District",900914160,"2011-2012","6","Number","Student Enrollment",345
812,"Cheshire School District",900914160,"2011-2012","7","Number","Student Enrollment",388
812,"Cheshire School District",900914160,"2011-2012","8","Number","Student Enrollment",389
812,"Cheshire School District",900914160,"2011-2012","9","Number","Student Enrollment",398
812,"Cheshire School District",900914160,"2011-2012","10","Number","Student Enrollment",388
812,"Cheshire School District",900914160,"2011-2012","11","Number","Student Enrollment",379
812,"Cheshire School District",900914160,"2011-2012","12","Number","Student Enrollment",423
812,"Cheshire School District",900914160,"2011-2012","Total","Number","Student Enrollment",4809
1009,"Cheshire School District",900914160,"2012-2013","Pre Kindergarten","Number","Student Enrollment",70
1009,"Cheshire School District",900914160,"2012-2013","Kindergarten","Number","Student Enrollment",236
1009,"Cheshire School District",900914160,"2012-2013","1","Number","Student Enrollment",280
1009,"Cheshire School District",900914160,"2012-2013","2","Number","Student Enrollment",324
1009,"Cheshire School District",900914160,"2012-2013","3","Number","Student Enrollment",373
1009,"Cheshire School District",900914160,"2012-2013","4","Number","Student Enrollment",355
1009,"Cheshire School District",900914160,"2012-2013","5","Number","Student Enrollment",351
1009,"Cheshire School District",900914160,"2012-2013","6","Number","Student Enrollment",372
1009,"Cheshire School District",900914160,"2012-2013","7","Number","Student Enrollment",357
1009,"Cheshire School District",900914160,"2012-2013","8","Number","Student Enrollment",403
1009,"Cheshire School District",900914160,"2012-2013","9","Number","Student Enrollment",383
1009,"Cheshire School District",900914160,"2012-2013","10","Number","Student Enrollment",400
1009,"Cheshire School District",900914160,"2012-2013","11","Number","Student Enrollment",384
1009,"Cheshire School District",900914160,"2012-2013","12","Number","Student Enrollment",386
1009,"Cheshire School District",900914160,"2012-2013","Total","Number","Student Enrollment",4674
1207,"Cheshire School District",900914160,"2013-2014","Pre Kindergarten","Number","Student Enrollment",76
1207,"Cheshire School District",900914160,"2013-2014","Kindergarten","Number","Student Enrollment",217
1207,"Cheshire School District",900914160,"2013-2014","1","Number","Student Enrollment",279
1207,"Cheshire School District",900914160,"2013-2014","2","Number","Student Enrollment",283
1207,"Cheshire School District",900914160,"2013-2014","3","Number","Student Enrollment",341
1207,"Cheshire School District",900914160,"2013-2014","4","Number","Student Enrollment",385
1207,"Cheshire School District",900914160,"2013-2014","5","Number","Student Enrollment",361
1207,"Cheshire School District",900914160,"2013-2014","6","Number","Student Enrollment",348
1207,"Cheshire School District",900914160,"2013-2014","7","Number","Student Enrollment",391
1207,"Cheshire School District",900914160,"2013-2014","8","Number","Student Enrollment",359
1207,"Cheshire School District",900914160,"2013-2014","9","Number","Student Enrollment",401
1207,"Cheshire School District",900914160,"2013-2014","10","Number","Student Enrollment",378
1207,"Cheshire School District",900914160,"2013-2014","11","Number","Student Enrollment",404
1207,"Cheshire School District",900914160,"2013-2014","12","Number","Student Enrollment",397
1207,"Cheshire School District",900914160,"2013-2014","Total","Number","Student Enrollment",4620
1405,"Cheshire School District",900914160,"2014-2015","Pre Kindergarten","Number","Student Enrollment",74
1405,"Cheshire School District",900914160,"2014-2015","Kindergarten","Number","Student Enrollment",229
1405,"Cheshire School District",900914160,"2014-2015","1","Number","Student Enrollment",245
1405,"Cheshire School District",900914160,"2014-2015","2","Number","Student Enrollment",283
1405,"Cheshire School District",900914160,"2014-2015","3","Number","Student Enrollment",297
1405,"Cheshire School District",900914160,"2014-2015","4","Number","Student Enrollment",350
1405,"Cheshire School District",900914160,"2014-2015","5","Number","Student Enrollment",391
1405,"Cheshire School District",900914160,"2014-2015","6","Number","Student Enrollment",371
1405,"Cheshire School District",900914160,"2014-2015","7","Number","Student Enrollment",357
1405,"Cheshire School District",900914160,"2014-2015","8","Number","Student Enrollment",399
1405,"Cheshire School District",900914160,"2014-2015","9","Number","Student Enrollment",351
1405,"Cheshire School District",900914160,"2014-2015","10","Number","Student Enrollment",412
1405,"Cheshire School District",900914160,"2014-2015","11","Number","Student Enrollment",374
1405,"Cheshire School District",900914160,"2014-2015","12","Number","Student Enrollment",418
1405,"Cheshire School District",900914160,"2014-2015","Total","Number","Student Enrollment",4551
